ID,Catégorie,Titre,Priorité,Impact (1-5),Effort estimé,Problème,Correction,Fichier(s) concerné(s)
B5,On-Page & Titles,Hreflang manquant sur pages ville et landing pages,Haute,3,1h,"Pages ville et landing pages n'ont pas les balises hreflang (en-PK / x-default). Incohérence signaux langue pour Google","Ajouter hreflang en-PK + x-default sur toutes les pages manquantes","chef-knife-lahore.html, chef-knife-karachi.html, chef-knife-price-pakistan.html, knife-chef-pakistan.html, eid-gift-chef-knife.html"
B6,On-Page & Titles,Image hero identique sur toutes les pages ville,Moyenne,3,2h,"Toutes les pages ville utilisent teak-1.jpg comme hero — renforce le signal contenu dupliqué pour Google","Assigner une image différente comme hero à chaque page ville (utiliser sapphire-new.png pour la moitié)","Toutes les pages ville"
B7,On-Page & Titles,Monitorer les snippets Search Console,Moyenne,2,15 min,"max-snippet:-1 correct mais si Google génère des snippets mal coupés ils peuvent réduire le CTR","Surveiller les snippets dans Search Console (URL Inspection). Ajouter googleon/off si nécessaire","Search Console"
B8,On-Page & Titles,Trustpilot désactivé — aucun social proof visible,Critique,5,2h,"businessUnitId vide dans config.js → aucun widget Trustpilot. Zéro avis = zéro étoiles dans Google SERP. CTR -30%","1) Créer compte Trustpilot Business 2) Renseigner businessUnitId dans config.js 3) Collecter 10+ avis clients","js/config.js"
C1,Données Structurées,Product schema sans aggregateRating — pas d'étoiles,Critique,5,1h,"Pages produit sans aggregateRating → Google ne peut pas afficher les étoiles dans la SERP. Les étoiles augmentent le CTR de 30–40%","Après collecte d'avis Trustpilot : ajouter aggregateRating dans Product schema sur les pages teak et sapphire","chef-knife-set-teak.html, chef-knife-set-sapphire.html"
C2,Données Structurées,Pages ville schema WebPage trop faible,Haute,4,2h,"Pages ville utilisent WebPage + BreadcrumbList uniquement — pas de Product schema ni FAQPage schema","Ajouter Product schema (areaServed: ville) + FAQPage schema sur chaque page ville","Toutes les pages ville"
C3,Données Structurées,Pages gift schema trop générique,Haute,3,1h,"eid-gift-chef-knife.html et autres pages gift utilisent WebPage schema générique au lieu de Product + FAQPage","Remplacer WebPage par Product schema + ajouter FAQPage sur les 3 pages gift","eid-gift-chef-knife.html, wedding-gift-chef-knife.html, housewarming-gift-chef-knife.html"
C4,Données Structurées,Homepage manque ItemList pour le catalogue produits,Haute,4,30 min,"Les 2 produits sont chargés dynamiquement via JS — Google peut mal les crawler. Aucun ItemList schema déclaré","Ajouter ItemList schema statique dans la homepage listant les 2 sets (Teak + Sapphire)","index.html"
C5,Données Structurées,LocalBusiness sans téléphone ni horaires,Moyenne,3,15 min,"LocalBusiness schema manque telephone, openingHours et contactPoint — limite l'affichage dans Google Maps","Ajouter telephone, openingHours et contactPoint dans le LocalBusiness schema","index.html"
C6,Données Structurées,knife-chef-pakistan.html Product schema incomplet,Moyenne,2,5 min,"Product schema manque priceValidUntil, itemCondition, availability, shippingDetails","Ajouter ces champs manquants pour uniformiser avec le schema des pages teak/sapphire","knife-chef-pakistan.html"
D1,Contenu & E-E-A-T,Pages ville non indexées — contenu insuffisant,Critique,5,1j/page,"10 pages ville non indexées car contenu identique < 300 mots uniques. Google les traite comme contenu dupliqué","Ajouter 400–600 mots de contenu unique par page : cuisines locales spécifiques, quartiers, FAQ city-specific. Priorité : Faisalabad, Multan, Peshawar","Pages ville non indexées"
D2,Contenu & E-E-A-T,Aucune page About Us / Histoire de l'usine,Haute,4,4h,"Pas de page dédiée à l'histoire de PKF — signal E-E-A-T très faible (Expertise, Authoritativeness, Trustworthiness)","Créer /about.html avec : photos atelier, histoire PKF, processus fabrication, chiffres usine, section 'Sialkot capitale mondiale du couteau'","À créer : about.html"
D3,Contenu & E-E-A-T,Aucune vidéo — signal E-E-A-T fort manquant,Haute,5,1j tournage,"Pas de vidéo de fabrication. Une vidéo d'atelier Sialkot est le signal E-E-A-T le plus fort possible pour ce produit","Tourner 3–5 min visite atelier + 1 min showcase produit. Héberger sur YouTube. Embed sur homepage + about. Ajouter VideoObject schema","Homepage, about.html"
D4,Contenu & E-E-A-T,Aucun blog — trafic informationnel zéro,Moyenne,4,En continu,"Aucun contenu éditorial. Requêtes informationelles ('comment entretenir un couteau', 'why Sialkot') non couvertes","Créer /blog/ avec 3–4 articles ciblant des requêtes informationelles à fort volume au Pakistan","À créer : blog/"
D5,Contenu & E-E-A-T,Aucune page suivi de commande,Moyenne,3,1h,"Clients cherchent leur colis — sans page dédiée ils contactent WhatsApp (charge support inutile). Requête 'chef knife pk track order' sans résultat","Créer /track-order.html avec liens directs TCS/Leopards/M&P pour le suivi de colis","À créer : track-order.html"
D6,Contenu & E-E-A-T,Page Qurbani / Eid-ul-Adha manquante,Haute,4,2h,"Eid-ul-Adha = pic de demande couteaux au Pakistan. Requêtes 'qurbani knife', 'eid ul adha knife price' non couvertes","Créer /qurbani-knife-pakistan.html 8 semaines avant Eid ul Adha. H1 + contenu qurbani spécifique + FAQPage schema","À créer : qurbani-knife-pakistan.html"
D7,Contenu & E-E-A-T,Contenu uniquement en anglais — Roman Urdu ignoré,Haute,4,2h,"Recherches en Roman Urdu ('chef knife ki qeemat', 'acha knife set pakistan mein') non couvertes par le contenu anglais","Intégrer quelques phrases naturelles en Roman Urdu dans les FAQ et le contenu des pages principales","index.html + pages ville principales"
E1,Off-Page & Backlinks,Google Merchant Center non activé — absent du carousel Shopping,Critique,5,4h,"0 clic sur 4910 impressions 'knife chef' car Google Shopping carousel capture tous les clics. PKF absent du carousel faute de Merchant Center","Créer compte merchants.google.com. Activer Free Listings pour les 2 produits. Budget minimal 500 PKR/j pour Shopping ads","Google Merchant Center (externe)"
E2,Off-Page & Backlinks,Aucun Google Business Profile — absent de Google Maps,Critique,5,1h,"PKF sans GBP = zéro apparition Google Maps, zéro Local Pack, zéro requêtes 'knife shop near me' converties","Créer Google Business Profile sur business.google.com : nom, catégorie, adresse Sialkot, photos atelier, messagerie activée","Google Business Profile (externe)"
E3,Off-Page & Backlinks,Aucune présence sur Daraz — 0 backlink e-commerce,Haute,4,1 semaine,"Daraz.pk = #1 e-commerce Pakistan. Absence = pas de backlink depuis domaine forte autorité + pas de visibilité acheteurs Daraz","Créer boutique Daraz Seller avec 2 produits. Prix légèrement supérieur (PKR 7500) + lien vers chef-knife.pk","Daraz.pk (externe)"
E4,Off-Page & Backlinks,Aucun profil social media — TikTok Pakistan manquant,Haute,4,En continu,"Zéro présence Instagram/Facebook/TikTok. TikTok Pakistan à fort engagement. Vidéos fabrication couteaux performent très bien","Créer @chefknifepk sur Instagram et TikTok. Publier 3x/semaine. Ajouter sameAs dans LocalBusiness schema","Réseaux sociaux + index.html (schema)"
E5,Off-Page & Backlinks,Aucun backlink — autorité domaine à construire,Long terme,5,3–6 mois,"Autorité domaine quasi nulle malgré des positions remarquables (faible concurrence PK). Positions à risque sans construction d'autorité","Stratégie : foodbloggers PK (envoi gratuit), listings annuaires, articles invités Propakistani/TechJuice, presse (Dawn.com), Priceoye.pk","Stratégie off-page (externe)"
F1,Pakistan Spécifique,Pas de Cash on Delivery — obstacle conversion critique au PK,Critique,5,Décision business,"85% du e-commerce pakistanais utilise le COD. Absence = taux de rebond élevé = signal négatif Google + ventes perdues","Activer COD via TCS/Leopards/Trax (livreur collecte cash, reverse montant moins 3–5%). Option : COD partiel sur numéro WhatsApp vérifié","js/config.js + checkout.html"
F2,Pakistan Spécifique,Géo-ciblage Pakistan non confirmé dans Search Console,Haute,3,5 min,"Domaine .pk géo-cible Pakistan automatiquement mais confirmation explicite recommandée dans Search Console pour maximiser pertinence locale","Search Console → Paramètres → International Targeting → Country → Pakistan","Google Search Console (externe)"
F3,Pakistan Spécifique,WhatsApp non configuré en compte Business,Moyenne,3,30 min,"Numéro WhatsApp personnel (923107919165) au lieu de WhatsApp Business — pas de catalogue produit, pas de badge vérifié","Convertir en WhatsApp Business. Configurer catalogue avec les 2 sets. Activer messages de bienvenue automatiques","js/config.js"
F4,Pakistan Spécifique,Aucune page en ourdou script pour requêtes Urdu,Long terme,4,1 semaine,"Requêtes en script ourdou (باورچی چاقو, کچن چاقو کی قیمت) non couvertes. Section /ur/ existante insuffisante","Étendre /ur/ avec pages : knife-chef-pakistan, chef-knife-price-pakistan. Mettre à jour hreflang en conséquence","À créer : ur/knife-chef-pakistan.html, ur/chef-knife-price-pakistan.html"
F5,Pakistan Spécifique,Aucune page pour la diaspora pakistanaise (UK/UAE/US),Long terme,4,3h,"UK (CTR 11.1%), UAE (CTR 7.1%), US (CTR 3.9%) — forte intention d'achat cadeau envoyé au Pakistan. Non ciblés","Créer /send-gift-to-pakistan.html. H1 ciblant les requêtes diaspora. Ajouter option paiement international (PayPal, Wise)","À créer : send-gift-to-pakistan.html"
G1,Search Console,URL Inspection — demander indexation de 3 pages clés,Critique,5,15 min,"chef-knife-price-pakistan.html non indexée (CTR potentiel 14.1%). knife-chef-pakistan.html à position 21.5. Homepage apex à confirmer","Dans Search Console URL Inspection → Demander l'indexation pour : chef-knife-price-pakistan.html, knife-chef-pakistan.html, chef-knife.pk/","Google Search Console (externe)"
G2,Search Console,Ajouter sitemap apex et re-soumettre,Haute,3,5 min,"Sitemap www soumis mais canonical en apex. Sitemap mis à jour (juillet) pas encore crawlé depuis les modifications","Search Console → Sitemaps → Ajouter https://chef-knife.pk/sitemap.xml (apex). Tester le sitemap","Google Search Console + sitemap.xml"
G3,Search Console,Configurer alertes de performance Search Console,Moyenne,2,10 min,"Pas d'alertes email configurées — les problèmes d'indexation peuvent rester non détectés pendant des semaines","Search Console → Paramètres → Préférences email → Activer toutes les alertes. Connecter Google Analytics 4","Google Search Console (externe)"
